1166	2803	2972
1182	2809	2972
1195	2815	2971
1208	2821	2967
1218	2828	2962
1228	2834	2958
1238	2840	2955
1246	2846	2949
1253	2851	2944
1260	2857	2941
1264	2862	2936
1269	2867	2934
1273	2869	2933
1275	2870	2932
1279	2872	2932
1285	2876	2930
1293	2882	2927
1301	2889	2924
1310	2894	2921
1326	2894	2917
1342	2895	2915
1358	2895	2915
1374	2896	2915
1392	2898	2914
1410	2899	2913
1428	2899	2913
1444	2899	2913
1458	2899	2914
1468	2900	2914
1475	2904	2913
1483	2906	2913
1490	2909	2913
1498	2912	2913
1507	2915	2914
1516	2918	2916
1524	2918	2918
1534	2918	2920
1541	2918	2923
1546	2920	2930
1547	2923	2938
1548	2926	2945
1550	2928	2953
1553	2930	2960
1557	2931	2963
1560	2933	2965
1564	2936	2966
1568	2937	2966
1575	2938	2964
1584	2939	2961
1596	2942	2958
1605	2944	2956
1619	2947	2953
1635	2949	2951
1651	2949	2949
1665	2948	2948
1673	2948	2948
1680	2948	2948
1687	2948	2948
1691	2949	2948
1695	2949	2948
1699	2948	2948
1703	2949	2948
1709	2949	2948
1714	2950	2947
1720	2950	2948
1725	2950	2948
1731	2950	2948
1737	2950	2948
1744	2950	2947
1750	2950	2946
1756	2951	2946
1761	2951	2946
1766	2951	2946
1770	2951	2945
1775	2951	2941
1778	2951	2935
1780	2951	2926
1781	2951	2916
1781	2952	2900
1782	2953	2884
1782	2956	2871
1782	2958	2859
1782	2959	2848
1782	2961	2839
1782	2961	2829
1782	2961	2818
1782	2961	2806
1782	2961	2793
1782	2963	2779
1782	2965	2763
1782	2966	2746
1782	2967	2729
1782	2967	2713
1781	2967	2696
1781	2967	2682
1780	2966	2665
1780	2966	2653
1780	2966	2644
1779	2967	2636
1779	2967	2628
1779	2968	2621
1778	2967	2611
1777	2968	2599
1774	2967	2588
1772	2967	2576
1770	2966	2564
1768	2966	2553
1766	2966	2542
1763	2965	2530
1761	2966	2518
1759	2967	2508
1757	2968	2500
1755	2968	2491
1752	2970	2484
1751	2972	2481
1749	2975	2476
1748	2977	2473
1748	2978	2470
1748	2979	2468
1748	2980	2465
1748	2980	2462
1748	2981	2459
1747	2981	2455
1748	2981	2451
